url,id,collectionId,name,locationTypeName
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3256","3256","rise","Canyon Ferry Power Plant","Power Plant"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3257","3257","rise","Chandler Power Plant","Power Plant"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3258","3258","rise","Crystal Power Plant","Power Plant"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3259","3259","rise","Davis Power Plant","Power Plant"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3261","3261","rise","Elephant Butte Power Plant","Power Plant"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3262","3262","rise","Estes Power Plant","Power Plant"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3263","3263","rise","Flaming Gorge Power Plant","Power Plant"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3264","3264","rise","Flatiron (Unit 1, 2) Power Plant","Power Plant"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3265","3265","rise","Flatiron (Unit 3) Pump Generating Plant","Pump Generating Plant"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3266","3266","rise","Folsom Power Plant","Power Plant"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3267","3267","rise","Fontenelle Power Plant","Power Plant"
